       Step     Time          Energy          fmax
LBFGS:    4 23:37:46      -13.143382      341.029586
LBFGS:    5 23:37:46      -13.112316      338.029828
LBFGS:    6 23:37:46      -13.182590       73.662965
LBFGS:    7 23:37:46      -13.150360      280.736680
LBFGS:    8 23:37:46      -13.094394      110.407746
LBFGS:    9 23:37:46      -13.138201      236.449139
LBFGS:   10 23:37:46      -13.115954      174.731765
LBFGS:   11 23:37:46      -13.155815      256.297762
LBFGS:   12 23:37:46      -13.176379      268.556255
LBFGS:   13 23:37:46      -13.229959      273.507867
LBFGS:   14 23:37:46      -13.174059      273.030537
LBFGS:   15 23:37:46      -13.115952      270.297378
LBFGS:   16 23:37:46      -13.188924      265.891265
LBFGS:   17 23:37:46      -13.271996      254.624465
LBFGS:   18 23:37:46      -13.354463      252.285128
LBFGS:   19 23:37:46      -13.272814      249.588065
LBFGS:   20 23:37:46      -13.201010      254.079736
LBFGS:   21 23:37:46      -13.140950      258.213723
LBFGS:   22 23:37:46      -13.220965      255.918227
LBFGS:   23 23:37:46      -13.298965      244.846163
LBFGS:   24 23:37:46      -13.231738      248.636228
LBFGS:   25 23:37:46      -13.175835      246.035242
LBFGS:   26 23:37:46      -13.245285      245.585250
LBFGS:   27 23:37:47      -13.321282      240.962629
LBFGS:   28 23:37:47      -13.259313      236.546238
LBFGS:   29 23:37:47      -13.209422      227.491303
LBFGS:   30 23:37:47      -13.269346      231.385197
LBFGS:   31 23:37:47      -13.338145      234.317240
LBFGS:   32 23:37:47      -13.279268      223.660065
LBFGS:   33 23:37:47      -13.231276      211.804087
LBFGS:   34 23:37:47      -13.286016      218.513012
LBFGS:   35 23:37:47      -13.349307      226.695253
LBFGS:   36 23:37:47      -13.292424      212.678938
LBFGS:   37 23:37:47      -13.245031      199.648497
LBFGS:   38 23:37:47      -13.296815      208.561058
LBFGS:   39 23:37:47      -13.356120      220.203421
LBFGS:   40 23:37:47      -13.301160      204.214607
LBFGS:   41 23:37:47      -13.254521      190.315514
LBFGS:   42 23:37:47      -13.304020      201.164350
LBFGS:   43 23:37:47      -13.360010      215.270447
LBFGS:   44 23:37:47      -13.307166      197.932973
LBFGS:   45 23:37:47      -13.261671      183.133924
LBFGS:   46 23:37:47      -13.309021      195.686104
LBFGS:   47 23:37:47      -13.362000      211.657877
LBFGS:   48 23:37:47      -13.311448      193.281727
LBFGS:   49 23:37:47      -13.267417      177.510417
LBFGS:   50 23:37:47      -13.312636      191.552604
LBFGS:   51 23:37:47      -13.362794      208.970927
LBFGS:   52 23:37:48      -13.314596      189.737187
LBFGS:   53 23:37:48      -13.272212      172.987323
LBFGS:   54 23:37:48      -13.315352      188.328412
LBFGS:   55 23:37:48      -13.362903      206.883784
LBFGS:   56 23:37:48      -13.316987      186.926527
LBFGS:   57 23:37:48      -13.276297      169.242712
LBFGS:   58 23:37:48      -13.317481      185.698145
LBFGS:   59 23:37:48      -13.362680      205.158444
LBFGS:   60 23:37:48      -13.318880      184.591355
LBFGS:   61 23:37:48      -13.279817      166.069488
LBFGS:   62 23:37:48      -13.319222      183.474507
LBFGS:   63 23:37:48      -13.362342      203.655663
LBFGS:   64 23:37:48      -13.320440      182.572437
LBFGS:   65 23:37:48      -13.282881      163.323148
LBFGS:   66 23:37:48      -13.320702      181.529914
LBFGS:   67 23:37:48      -13.362000      202.300456
LBFGS:   68 23:37:48      -13.321777      180.781596
LBFGS:   69 23:37:48      -13.285572      160.915274
LBFGS:   70 23:37:48      -13.321990      179.798991
LBFGS:   71 23:37:48      -13.361702      201.045416
LBFGS:   72 23:37:48      -13.322951      179.153154
LBFGS:   73 23:37:48      -13.287962      158.770281
LBFGS:   74 23:37:48      -13.323141      178.227553
LBFGS:   75 23:37:48      -13.361463      199.865138
LBFGS:   76 23:37:48      -13.324006      177.655370
LBFGS:   77 23:37:48      -13.290099      156.841794
LBFGS:   78 23:37:48      -13.324183      176.783651
LBFGS:   79 23:37:49      -13.361285      198.746570
LBFGS:   80 23:37:49      -13.324968      176.265774
LBFGS:   81 23:37:49      -13.292032      155.090942
LBFGS:   82 23:37:49      -13.325139      175.442063
LBFGS:   83 23:37:49      -13.361165      197.677196
LBFGS:   84 23:37:49      -13.325853      174.966406
LBFGS:   85 23:37:49      -13.293785      153.490935
LBFGS:   86 23:37:49      -13.326020      174.186403
LBFGS:   87 23:37:49      -13.361094      196.651911
LBFGS:   88 23:37:49      -13.326677      173.746371
LBFGS:   89 23:37:49      -13.295392      152.019203
LBFGS:   90 23:37:49      -13.326842      173.005787
LBFGS:   91 23:37:49      -13.361072      195.664494
LBFGS:   92 23:37:49      -13.327448      172.591827
LBFGS:   93 23:37:49      -13.296866      150.659976
LBFGS:   94 23:37:49      -13.327613      171.891129
LBFGS:   95 23:37:49      -13.361085      194.712508
LBFGS:   96 23:37:49      -13.328176      171.498307
LBFGS:   97 23:37:49      -13.298227      149.396846
LBFGS:   98 23:37:49      -13.328341      170.830449
LBFGS:   99 23:37:49      -13.361135      193.789251
LBFGS:  100 23:37:49      -13.328862      170.455806
       Step     Time          Energy          fmax
LBFGS:    0 23:37:49       -8.088167      302.970638
LBFGS:    1 23:37:49       -8.799656      155.102298
LBFGS:    2 23:37:49       -8.941415       89.905448
LBFGS:    3 23:37:49       -9.045149       39.760187
LBFGS:    4 23:37:49       -9.012539      145.823093
LBFGS:    5 23:37:49       -9.055921       23.168718
LBFGS:    6 23:37:49       -9.052124       18.240265
LBFGS:    7 23:37:50       -9.064690       10.034546
LBFGS:    8 23:37:50       -9.071508        6.946284
LBFGS:    9 23:37:50       -9.074481        4.463987
LBFGS:   10 23:37:50       -9.080282        4.978395
LBFGS:   11 23:37:50       -9.098896       63.438173
LBFGS:   12 23:37:50       -9.091643        5.593670
LBFGS:   13 23:37:50       -9.102455        4.192310
LBFGS:   14 23:37:50       -9.126742        8.456923
LBFGS:   15 23:37:50       -9.116673        2.032441
LBFGS:   16 23:37:50       -9.122501        1.389306
LBFGS:   17 23:37:50       -9.141689        2.152318
LBFGS:   18 23:37:50       -9.147552        1.266664
LBFGS:   19 23:37:50       -9.154769       19.975558
LBFGS:   20 23:37:50       -9.151905       20.217163
LBFGS:   21 23:37:50       -8.907400       44.658474
LBFGS:   22 23:37:50       -9.128777       27.009465
LBFGS:   23 23:37:50       -9.153379       40.420466
LBFGS:   24 23:37:50       -9.128951       18.812887
LBFGS:   25 23:37:50       -9.147341       51.727403
LBFGS:   26 23:37:50       -9.133555       44.609176
LBFGS:   27 23:37:50       -9.161654       49.016785
LBFGS:   28 23:37:50       -9.157543       94.348018
LBFGS:   29 23:37:50       -9.151680       31.449307
LBFGS:   30 23:37:50       -9.155091        9.597063
LBFGS:   31 23:37:50       -9.155070        9.518089
LBFGS:   32 23:37:50       -9.155087        8.917866
LBFGS:   33 23:37:51       -9.155099        8.406591
LBFGS:   34 23:37:51       -9.155086        8.898967
LBFGS:   35 23:37:51       -9.155083        8.973445
LBFGS:   36 23:37:51       -9.155087        8.883123
LBFGS:   37 23:37:51       -9.155087        8.885182
LBFGS:   38 23:37:51       -9.155089        9.154358
LBFGS:   39 23:37:51       -9.155075       10.313906
LBFGS:   40 23:37:51       -9.154754       27.022736
LBFGS:   41 23:37:51       -9.157309       55.985038
LBFGS:   42 23:37:51       -9.062538       56.584077
LBFGS:   43 23:37:51       -9.168011       71.398108
LBFGS:   44 23:37:51       -9.155121       15.825241
LBFGS:   45 23:37:51       -9.157452       43.763477
LBFGS:   46 23:37:51       -9.155071       18.581830
LBFGS:   47 23:37:51       -9.154867       29.087261
LBFGS:   48 23:37:51       -9.155396       22.990896
LBFGS:   49 23:37:51       -9.158212       36.512121
LBFGS:   50 23:37:51       -9.154280       13.593172
LBFGS:   51 23:37:51       -9.106309       23.878811
LBFGS:   52 23:37:51       -9.153793        3.506365
LBFGS:   53 23:37:51       -9.154816        3.283554
LBFGS:   54 23:37:51       -9.154452        2.250974
LBFGS:   55 23:37:51       -9.154781        3.075368
LBFGS:   56 23:37:51       -9.154751        2.928144
LBFGS:   57 23:37:51       -9.154894        4.073412
LBFGS:   58 23:37:51       -9.154924        5.885367
LBFGS:   59 23:37:52       -9.152631       28.252947
LBFGS:   60 23:37:52       -9.154303        4.338323
LBFGS:   61 23:37:52       -9.155165        5.705141
LBFGS:   62 23:37:52       -9.155182        6.191784
LBFGS:   63 23:37:52       -9.155128        3.926616
LBFGS:   64 23:37:52       -9.159929       57.340317
LBFGS:   65 23:37:52       -9.166806       47.829253
LBFGS:   66 23:37:52       -9.160607       58.448016
LBFGS:   67 23:37:52       -9.155550       38.231781
LBFGS:   68 23:37:52       -9.153635       19.392366
LBFGS:   69 23:37:52       -9.153727       39.645056
LBFGS:   70 23:37:52       -8.919373       79.403561
LBFGS:   71 23:37:52       -8.954563       69.541643
LBFGS:   72 23:37:52       -9.094225       37.040845
LBFGS:   73 23:37:52       -9.148855       47.796094
LBFGS:   74 23:37:52       -9.091282       80.514596
LBFGS:   75 23:37:52       -9.146456       42.338448
LBFGS:   76 23:37:52       -9.163166       56.916605
LBFGS:   77 23:37:52       -9.160388       59.398501
LBFGS:   78 23:37:52       -9.166830       52.808565
LBFGS:   79 23:37:52       -9.172318       48.967502
LBFGS:   80 23:37:52       -9.172869       55.460563
LBFGS:   81 23:37:52       -9.166306       53.254413
LBFGS:   82 23:37:52       -9.168211       51.039466
LBFGS:   83 23:37:52       -9.182933       31.087390
LBFGS:   84 23:37:53       -9.174169       34.297414
LBFGS:   85 23:37:53       -9.086754       38.010466
LBFGS:   86 23:37:53       -9.152237       49.088997
LBFGS:   87 23:37:53       -9.151276       50.036812
LBFGS:   88 23:37:53       -8.936626       40.809579
LBFGS:   89 23:37:53       -9.175313       27.325413
LBFGS:   90 23:37:53       -9.153422       42.460453
LBFGS:   91 23:37:53       -9.179008       39.733247
LBFGS:   92 23:37:53       -9.084314      129.087587
LBFGS:   93 23:37:53       -8.792044      237.080135
LBFGS:   94 23:37:53       -9.083615      125.314251
LBFGS:   95 23:37:53       -9.122577       89.132372
LBFGS:   96 23:37:53       -9.171216       24.331271
LBFGS:   97 23:37:53       -9.122983       81.922629
LBFGS:   98 23:37:53       -9.112109       85.720556
LBFGS:   99 23:37:53       -9.120556       77.324189
LBFGS:  100 23:37:53       -9.143070       37.119451
       Step     Time          Energy          fmax
LBFGS:    0 23:37:53       -1.746880       57.927240
LBFGS:    1 23:37:53       -2.015001       15.502486
LBFGS:    2 23:37:53       -2.025285       70.075236
LBFGS:    3 23:37:53       -2.055642        1.030610
LBFGS:    4 23:37:54       -2.076488        1.331270
LBFGS:    5 23:37:54       -2.153178       22.029348
LBFGS:    6 23:37:54       -2.121625       13.844233
LBFGS:    7 23:37:54       -2.052934       24.185209
LBFGS:    8 23:37:54       -2.168450       19.411431
LBFGS:    9 23:37:54       -1.984586      234.374329
LBFGS:   10 23:37:54       -2.229532       24.063139
LBFGS:   11 23:37:54       -2.251729      101.679804
LBFGS:   12 23:37:54       -2.218981      125.259066
LBFGS:   13 23:37:54       -2.224261      101.294649
LBFGS:   14 23:37:54       -2.128781       65.277265
LBFGS:   15 23:37:54       -2.229017       46.663410
LBFGS:   16 23:37:54       -1.989490      210.886029
LBFGS:   17 23:37:54       -2.266524       42.993181
LBFGS:   18 23:37:54       -2.286254       22.696801
LBFGS:   19 23:37:54       -2.286534       30.910012
LBFGS:   20 23:37:54       -2.290211        7.259904
LBFGS:   21 23:37:54       -2.290534        2.047294
LBFGS:   22 23:37:54       -2.290563        0.220401
LBFGS:   23 23:37:54       -2.290561        0.000659
       Step     Time          Energy          fmax
LBFGS:    0 23:37:54       -9.123808       54.543633
LBFGS:    1 23:37:54       -9.900936      507.471816
LBFGS:    2 23:37:54      -10.342655      307.419729
LBFGS:    3 23:37:54       -9.671211      327.494810
LBFGS:    4 23:37:54       -9.391003       32.810574
LBFGS:    5 23:37:54       -9.522099      221.881877
LBFGS:    6 23:37:55       -9.704179      119.273547
LBFGS:    7 23:37:55       -9.912674      229.403602
LBFGS:    8 23:37:55       -9.660065      165.730644
LBFGS:    9 23:37:55       -9.425392      265.821651
LBFGS:   10 23:37:55       -9.585308      206.942764
LBFGS:   11 23:37:55       -9.531456      228.520481
LBFGS:   12 23:37:55       -9.832148      120.558084
LBFGS:   13 23:37:55      -10.084438      164.705038
LBFGS:   14 23:37:55       -9.706939      111.030875
LBFGS:   15 23:37:55       -9.687919      537.038208
LBFGS:   16 23:37:55       -9.669217      151.209941
LBFGS:   17 23:37:55       -9.609184      192.249331
LBFGS:   18 23:37:55       -9.786833       85.980692
LBFGS:   19 23:37:55       -9.977804      208.420449
LBFGS:   20 23:37:55       -9.805817       89.482692
LBFGS:   21 23:37:55       -9.796966      125.141470
LBFGS:   22 23:37:55       -9.819999      116.286268
LBFGS:   23 23:37:55       -9.792896      105.139401
LBFGS:   24 23:37:55       -9.844105      134.270227
LBFGS:   25 23:37:55       -9.791782      104.775508
LBFGS:   26 23:37:55       -9.790781      104.450609
LBFGS:   27 23:37:55       -9.762674      118.352318
LBFGS:   28 23:37:55       -9.814428      112.148705
LBFGS:   29 23:37:55       -9.762887       98.721767
LBFGS:   30 23:37:55       -9.763577       99.666094
LBFGS:   31 23:37:55       -9.761792       86.290974
LBFGS:   32 23:37:56       -9.775943       91.687205
LBFGS:   33 23:37:56       -9.747506       96.309948
LBFGS:   34 23:37:56       -9.725739       89.689923
LBFGS:   35 23:37:56       -9.729740      108.829613
LBFGS:   36 23:37:56       -9.720634      140.287768
LBFGS:   37 23:37:56       -9.730438      107.844896
LBFGS:   38 23:37:56       -9.741989       94.006988
LBFGS:   39 23:37:56       -9.739161       95.318158
LBFGS:   40 23:37:56       -9.753408       92.245578
LBFGS:   41 23:37:56       -9.777011       85.995509
LBFGS:   42 23:37:56       -9.785786       76.224834
LBFGS:   43 23:37:56       -9.781407       80.668701
LBFGS:   44 23:37:56       -9.797582       80.927120
LBFGS:   45 23:37:56       -9.807259       74.012265
LBFGS:   46 23:37:56       -9.792062       90.597314
LBFGS:   47 23:37:56       -9.790193       96.135304
LBFGS:   48 23:37:56       -9.796978      101.208569
LBFGS:   49 23:37:56       -9.803115      102.986678
LBFGS:   50 23:37:56       -9.791338      102.587446
LBFGS:   51 23:37:56       -9.793311       91.899091
LBFGS:   52 23:37:56       -9.800229       87.257077
LBFGS:   53 23:37:56       -9.873151       94.810994
LBFGS:   54 23:37:56      -10.022582      228.493687
LBFGS:   55 23:37:56       -9.805732       85.108858
LBFGS:   56 23:37:56       -9.519168      293.382248
LBFGS:   57 23:37:57       -9.849297       92.078713
LBFGS:   58 23:37:57       -9.905549      130.757048
LBFGS:   59 23:37:57       -9.713737      177.431265
LBFGS:   60 23:37:57       -9.957068      171.228453
LBFGS:   61 23:37:57       -9.682542      185.809393
LBFGS:   62 23:37:57       -9.568606      598.193492
LBFGS:   63 23:37:57       -9.670909      219.094149
LBFGS:   64 23:37:57       -9.578067      311.107432
LBFGS:   65 23:37:57       -9.878373      101.868902
LBFGS:   66 23:37:57      -10.262993      157.122783
LBFGS:   67 23:37:57      -10.281518      237.840793
LBFGS:   68 23:37:57      -10.196388      194.922421
LBFGS:   69 23:37:57      -10.288338      236.970491
LBFGS:   70 23:37:57      -10.255220      317.941521
LBFGS:   71 23:37:57      -10.291154      242.671433
LBFGS:   72 23:37:57      -10.252918      113.919805
LBFGS:   73 23:37:57      -10.282579      228.219100
LBFGS:   74 23:37:57      -10.287789       75.386525
LBFGS:   75 23:37:57       -9.926452       99.351442
LBFGS:   76 23:37:57      -10.251216      107.672545
LBFGS:   77 23:37:57      -10.319737      148.179621
LBFGS:   78 23:37:57      -10.315594      129.082269
LBFGS:   79 23:37:57      -10.319780      147.692026
LBFGS:   80 23:37:57      -10.319818      147.181921
LBFGS:   81 23:37:57      -10.304336      218.841983
LBFGS:   82 23:37:57      -10.274965      238.685208
LBFGS:   83 23:37:58      -10.223062      275.581756
